# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 69K of event 'cpu-clock:pppH'
# Event count (approx.): 17286500000
#
# Overhead  Command          Shared Object       Symbol                                                                
# ........  ...............  ..................  ......................................................................
#
    13.28%  DartWorker       [kernel.vmlinux]    [k] _raw_spin_unlock_irqrestore
    10.54%  DartWorker       libc-2.31.so        [.] __nss_next2
     5.73%  DartWorker       [kernel.vmlinux]    [k] syscall_enter_from_user_mode
     5.41%  DartWorker       libpthread-2.31.so  [.] __pthread_mutex_unlock_usercnt
     3.34%  DartWorker       libtransport.so     [.] ev_invoke_pending
     2.85%  DartWorker       libtransport.so     [.] ev_run
     2.56%  DartWorker       libtransport.so     [.] ev_timer_start
     2.48%  DartWorker       [vdso]              [.] __vdso_clock_gettime
     2.36%  DartWorker       libtransport.so     [.] ev_timer_stop
     1.85%  DartWorker       libtransport.so     [.] ev_idle_stop
     1.84%  DartWorker       libtransport.so     [.] ev_feed_event
     1.79%  DartWorker       libtransport.so     [.] ev_idle_start
     1.76%  DartWorker       ld-2.31.so          [.] get_common_indices.constprop.0
     1.73%  DartWorker       libpthread-2.31.so  [.] __pthread_mutex_lock
     1.64%  DartWorker       libtransport.so     [.] transport_channel_consume_loop
     1.44%  DartWorker       libtransport.so     [.] fiber_yield
     1.41%  DartWorker       libtransport.so     [.] fiber_sleep
     1.28%  DartWorker       libtransport.so     [.] fiber_wakeup
     1.12%  DartWorker       libpthread-2.31.so  [.] pthread_cond_timedwait@@GLIBC_2.3.2
     1.04%  DartWorker       libtransport.so     [.] fiber_schedule_wakeup
     0.89%  DartWorker       libtransport.so     [.] transport_controller_loop
     0.89%  DartWorker       libtransport.so     [.] _io_uring_get_cqe
     0.83%  DartWorker       [kernel.vmlinux]    [k] __fget_light.part.0
     0.73%  DartWorker       libtransport.so     [.] coro_transfer
     0.71%  DartWorker       libc-2.31.so        [.] __strncat_sse2_unaligned
     0.65%  DartWorker       libtransport.so     [.] fiber_schedule_timeout
     0.65%  DartWorker       libtransport.so     [.] fiber_yield_timeout
     0.64%  DartWorker       libpthread-2.31.so  [.] pthread_cond_signal@@GLIBC_2.3.2
     0.59%  DartWorker       libc-2.31.so        [.] gaih_inet.constprop.0
     0.46%  DartWorker       [kernel.vmlinux]    [k] finish_task_switch.isra.0
     0.46%  DartWorker       [kernel.vmlinux]    [k] __x64_sys_epoll_wait
     0.46%  DartWorker       libtransport.so     [.] __tls_get_addr@plt
     0.39%  DartWorker       benchmark.exe       [.] tc_deletearray
     0.38%  DartWorker       [kernel.vmlinux]    [k] fput
     0.33%  DartWorker       [kernel.vmlinux]    [k] __x64_sys_futex
     0.32%  DartWorker       [kernel.vmlinux]    [k] do_epoll_wait
     0.31%  DartWorker       benchmark.exe       [.] tc_malloc
     0.31%  DartWorker       benchmark.exe       [.] 0x00000000003d61cf
     0.30%  DartWorker       [kernel.vmlinux]    [k] futex_wake
     0.28%  DartWorker       libtransport.so     [.] epoll_poll
     0.27%  DartWorker       libpthread-2.31.so  [.] __condvar_dec_grefs
     0.26%  DartWorker       libtransport.so     [.] transport_controller_send
     0.25%  DartWorker       [kernel.vmlinux]    [k] futex_q_lock
     0.24%  DartWorker       [kernel.vmlinux]    [k] __fdget
     0.24%  DartWorker       benchmark.exe       [.] 0x000000000030ba74
     0.22%  DartWorker       [kernel.vmlinux]    [k] copy_user_short_string
     0.21%  DartWorker       benchmark.exe       [.] tc_newarray
     0.19%  DartWorker       [kernel.vmlinux]    [k] strncpy
     0.18%  DartWorker       [kernel.vmlinux]    [k] get_futex_key
     0.17%  DartWorker       [kernel.vmlinux]    [k] futex_hash
     0.16%  DartWorker       [kernel.vmlinux]    [k] copy_user_generic_unrolled
     0.16%  DartWorker       libtransport.so     [.] transport_channel_send_loop
     0.14%  DartWorker       [kernel.vmlinux]    [k] tcp_ack
     0.14%  DartWorker       [nf_conntrack]      [k] __nf_conntrack_find_get
     0.14%  DartWorker       libtransport.so     [.] ev_ref
     0.14%  DartWorker       [kernel.vmlinux]    [k] futex_wake_mark
     0.14%  DartWorker       [kernel.vmlinux]    [k] tcp_recvmsg_locked
     0.14%  DartWorker       libtransport.so     [.] mslab_alloc
     0.13%  DartWorker       [kernel.vmlinux]    [k] _raw_spin_lock
     0.13%  DartWorker       libtransport.so     [.] cord_is_main
     0.13%  DartWorker       [nf_conntrack]      [k] nf_conntrack_tcp_packet
     0.13%  DartWorker       [nf_tables]         [k] nft_do_chain
     0.12%  DartWorker       [kernel.vmlinux]    [k] read_tsc
     0.12%  DartWorker       benchmark.exe       [.] Dart_SetEnabledTimelineCategory
     0.12%  DartWorker       [kernel.vmlinux]    [k] io_submit_sqes
     0.12%  DartWorker       [kernel.vmlinux]    [k] mod_memcg_state
     0.12%  DartWorker       [kernel.vmlinux]    [k] tcp_sendmsg_locked
     0.12%  DartWorker       libtransport.so     [.] mslab_free
     0.12%  DartWorker       benchmark.exe       [.] _ZN8tcmalloc11ThreadCache21ReleaseToCentralCacheEPNS0_8FreeListEji
     0.12%  DartWorker       libtransport.so     [.] ev_unref
     0.11%  DartWorker       [kernel.vmlinux]    [k] ip_finish_output2
     0.11%  DartWorker       [kernel.vmlinux]    [k] plist_add
     0.11%  DartWorker       [kernel.vmlinux]    [k] preempt_count_add
     0.11%  DartWorker       [kernel.vmlinux]    [k] futex_wait
     0.11%  DartWorker       [kernel.vmlinux]    [k] io_send
     0.11%  DartWorker       libtransport.so     [.] transport_channel_receive_loop
     0.11%  DartWorker       [kernel.vmlinux]    [k] skb_release_data
     0.11%  DartWorker       [kernel.vmlinux]    [k] __do_softirq
